|building_address_city|List_Date|Close_Date|days_on_market|Sale_Price|Sq_Ft|price_per_sqft|Agent|Buyer_Agent|geo_address|building_name|address_only|loc|point|lat|lon|altitude|Sale_Price_int|price_per_sqft_int|year
2|Il Villaggio 1455 Ocean Dr 1409 Miami Beach|10/15/2021|12/2/2021|31|$3,725,000.00|2250|$1,655.56|Lourdes Alatriste|Anna Sherrill|Il Villaggio 1455 Ocean Dr 1409 Miami Beach|Il Villaggio |1455 Ocean Dr 1409 Miami Beach|1455 Ocean Dr, Miami Beach, FL 33139, USA|(25.7870529, -80.1291008, 0.0)|25.7870529|-80.1291008|0.0|3725000.0|1655.56|2021
9|Bristol Tower 2127 Brickell Ave 2302 Miami|7/1/2021|12/3/2021|63|$1,900,000.00|2825|$672.57|Daniel Burdak|Suad Yidios|Bristol Tower 2127 Brickell Ave 2302 Miami|Bristol Tower |2127 Brickell Ave 2302 Miami|2127 Brickell Ave, Miami, FL 33129, USA|(25.7521554, -80.19934049999999, 0.0)|25.7521554|-80.19934049999999|0.0|1900000.0|672.57|2021
10|Monad Terrace 1300 Monad Terr PHA Miami Beach|12/6/2021|12/6/2021|1|$11,800,000.00|4863|$2,426.49|Comp Sale|Dina Goldentayer|Monad Terrace 1300 Monad Terr PHA Miami Beach|Monad Terrace |1300 Monad Terr PHA Miami Beach|1300 Monad Terrace, Miami Beach, FL 33139, USA|(25.7840774, -80.1425416, 0.0)|25.7840774|-80.1425416|0.0|11800000.0|2426.49|2021
11|Arte Surfside 8955 Collins Ave 502 Surfside|12/6/2021|12/6/2021|1|$10,975,000.00|3931|$2,791.91|Comp Sale|Dina Goldentayer|Arte Surfside 8955 Collins Ave 502 Surfside|Arte Surfside |8955 Collins Ave 502 Surfside|8955 Collins Ave, Surfside, FL 33154, USA|(25.8758096, -80.12120449999999, 0.0)|25.8758096|-80.12120449999999|0.0|10975000.0|2791.91|2021
12|Oceana Bal Harbour Condo 10203 Collins Ave 1201 Bal Harbour|2/13/2020|12/6/2021|630|$8,940,000.00|3992|$2,239.48|Roza Pereira|Sarah Gozlan|Oceana Bal Harbour Condo 10203 Collins Ave 1201 Bal Harbour|Oceana Bal Harbour Condo |10203 Collins Ave 1201 Bal Harbour|10201 Collins Ave, Bal Harbour, FL 33154, USA|(25.8951514, -80.1230855, 0.0)|25.8951514|-80.1230855|0.0|8940000.0|2239.48|2021
13|Fisher Island 6800 Fisher Island Dr 6842 Fisher Island|10/29/2019|12/7/2021|547|$8,500,000.00|3620|$2,348.07|Dora Puig|Katrina Campins PA|Fisher Island 6800 Fisher Island Dr 6842 Fisher Island|Fisher Island |6800 Fisher Island Dr 6842 Fisher Island|6800 Fisher Island Dr, Miami Beach, FL 33109, USA|(25.7623668, -80.14735929999999, 0.0)|25.7623668|-80.14735929999999|0.0|8500000.0|2348.07|2021
14|Monad Terrace 1300 Monad Terr 5A Miami Beach|3/11/2021|12/6/2021|180|$5,950,000.00|4308|$2,253.79|Tracy Galya|Ann Nortmann PA|Monad Terrace 1300 Monad Terr 5A Miami Beach|Monad Terrace |1300 Monad Terr 5A Miami Beach|1300 Monad Terrace, Miami Beach, FL 33139, USA|(25.7840774, -80.1425416, 0.0)|25.7840774|-80.1425416|0.0|5950000.0|2253.79|2021
15|Porsche Design Tower 18555 Collins Ave 1601 Sunny Isles Beach|12/6/2021|12/6/2021|1|$5,750,000.00|3171|$1,813.31|Comp Sale|Scott Shuffield|Porsche Design Tower 18555 Collins Ave 1601 Sunny Isles Beach|Porsche Design Tower |18555 Collins Ave 1601 Sunny Isles Beach|18555 Collins Ave, Sunny Isles Beach, FL 33160, USA|(25.9482145, -80.1197839, 0.0)|25.9482145|-80.1197839|0.0|5750000.0|1813.31|2021
16|Monad Terrace 1300 Monad Terr 6F Miami Beach|3/23/2021|12/6/2021|209|$5,620,000.00|4679|$2,114.37|Christian Kawas|Ronit Perez|Monad Terrace 1300 Monad Terr 6F Miami Beach|Monad Terrace |1300 Monad Terr 6F Miami Beach|1300 Monad Terrace, Miami Beach, FL 33139, USA|(25.7840774, -80.1425416, 0.0)|25.7840774|-80.1425416|0.0|5620000.0|2114.37|2021
17|Turnberry Ocean Club 18501 Collins Ave 1504 Sunny Isles Beach|11/25/2021|12/8/2021|11|$5,362,500.00|3252|$1,648.99|Mariana Shulga|Ryan Mendell|Turnberry Ocean Club 18501 Collins Ave 1504 Sunny Isles Beach|Turnberry Ocean Club |18501 Collins Ave 1504 Sunny Isles Beach|18501 Collins Ave, Sunny Isles Beach, FL 33160, USA|(25.9477873, -80.12022019999999, 0.0)|25.9477873|-80.12022019999999|0.0|5362500.0|1648.99|2021
